Id provincia INDEC;Id departamento INDEC;ID departamento CovidStats;Provincia;Departamento
2;1;87;CABA;COMUNA 01
2;2;95;CABA;COMUNA 02
2;3;49;CABA;COMUNA 03
2;4;73;CABA;COMUNA 04
2;5;135;CABA;COMUNA 05
2;6;639;CABA;COMUNA 06
2;7;157;CABA;COMUNA 07
2;8;455;CABA;COMUNA 08
2;9;97;CABA;COMUNA 09
2;10;177;CABA;COMUNA 10
2;11;37;CABA;COMUNA 11
2;12;29;CABA;COMUNA 12
2;13;137;CABA;COMUNA 13
2;14;99;CABA;COMUNA 14
2;15;105;CABA;COMUNA 15
6;7;54244;Buenos Aires;Adolfo Alsina
6;14;37456;Buenos Aires;Adolfo Gonzales Chaves
6;21;7487;Buenos Aires;Alberti
6;28;85;Buenos Aires;Almirante Brown
6;35;75;Buenos Aires;Avellaneda
6;42;5037;Buenos Aires;Ayacucho
6;49;5263;Buenos Aires;Azul
6;56;345;Buenos Aires;Bahía Blanca
6;63;1211;Buenos Aires;Balcarce
6;70;6921;Buenos Aires;Baradero
6;77;9273;Buenos Aires;Arrecifes
6;84;17239;Buenos Aires;Benito Juárez
6;91;103;Buenos Aires;Berazategui
6;98;5885;Buenos Aires;Berisso
6;105;6803;Buenos Aires;Bolívar
6;112;5097;Buenos Aires;Bragado
6;119;927;Buenos Aires;Brandsen
6;126;321;Buenos Aires;Campana
6;134;199;Buenos Aires;Cañuelas
6;140;7457;Buenos Aires;Capitán Sarmiento
6;147;13703;Buenos Aires;Carlos Casares
6;154;47664;Buenos Aires;Carlos Tejedor
6;161;5029;Buenos Aires;Carmen de Areco
6;168;625;Buenos Aires;Castelli
6;175;6689;Buenos Aires;Colón
6;182;12945;Buenos Aires;Coronel de Marina L. Rosales
6;189;8691;Buenos Aires;Coronel Dorrego
6;196;5755;Buenos Aires;Coronel Pringles
6;203;41486;Buenos Aires;Coronel Suárez
6;210;215;Buenos Aires;Chacabuco
6;217;13443;Buenos Aires;Chascomús
6;224;363;Buenos Aires;Chivilcoy
6;231;42688;Buenos Aires;Daireaux
6;238;5327;Buenos Aires;Dolores
6;245;7947;Buenos Aires;Ensenada
6;252;55;Buenos Aires;Escobar
6;260;217;Buenos Aires;Esteban Echeverría
6;266;9825;Buenos Aires;Exaltación de la Cruz
6;270;331;Buenos Aires;Ezeiza
6;274;15;Buenos Aires;Florencio Varela
6;277;16107;Buenos Aires;Florentino Ameghino
6;280;5497;Buenos Aires;General Alvarado
6;287;99222;Buenos Aires;General Alvear
6;294;49150;Buenos Aires;General Arenales
6;301;11755;Buenos Aires;General Belgrano
6;308;53026;Buenos Aires;General Guido
6;315;11087;Buenos Aires;General Juan Madariaga
6;322;14947;Buenos Aires;General La Madrid
6;329;9465;Buenos Aires;General Las Heras
6;336;98498;Buenos Aires;General Lavalle
6;343;1029;Buenos Aires;General Paz
6;351;42412;Buenos Aires;General Pinto
6;357;67;Buenos Aires;General Pueyrredón
6;364;681;Buenos Aires;General Rodríguez
6;371;191;Buenos Aires;General San Martín
6;385;17737;Buenos Aires;General Viamonte
6;392;5079;Buenos Aires;General Villegas
6;399;5041;Buenos Aires;Guaminí
6;406;10655;Buenos Aires;Hipólito Yrigoyen
6;408;5523;Buenos Aires;Hurlingham
6;410;69;Buenos Aires;Ituzaingó
6;412;501;Buenos Aires;José C. Paz
6;413;1311;Buenos Aires;Junín
6;420;5719;Buenos Aires;La Costa
6;427;169;Buenos Aires;La Matanza
6;434;237;Buenos Aires;Lanús
6;441;31;Buenos Aires;La Plata
6;448;70008;Buenos Aires;Laprida
6;455;67090;Buenos Aires;Las Flores
6;462;7013;Buenos Aires;Leandro N. Alem
6;466;17952548;Buenos Aires;Lezama
6;469;16135;Buenos Aires;Lincoln
6;476;9173;Buenos Aires;Lobería
6;483;4961;Buenos Aires;Lobos
6;490;89;Buenos Aires;Lomas de Zamora
6;497;435;Buenos Aires;Luján
6;505;13141;Buenos Aires;Magdalena
6;511;6217;Buenos Aires;Maipú
6;515;127;Buenos Aires;Malvinas Argentinas
6;518;5715;Buenos Aires;Mar Chiquita
